Product name,Manufacture date,Quantity,Discount
Canned Beans,2022-08-28,49,14
Canned Corn,2022-03-31,48,12
Canned Corn,2022-11-20,156,18
Canned Corn,2023-10-13,141,0
Fanta,2023-04-26,119,12
Canned Beans,2022-02-10,106,15
Rice,2023-12-19,241,7
Can of Tuna,2022-09-02,17,13
Whiskey,2023-07-12,29,6
Pasta,2022-05-11,109,16
Pepsi,2023-11-27,81,0
Nestea,2022-03-04,116,15
Canned Peas,2023-07-31,279,8
Rum,2023-05-30,295,15
Sprite,2022-01-20,215,20
Vodka,2023-06-29,280,10
Canned Soup,2022-07-23,16,14
Pasta,2022-02-14,227,20
Pasta,2022-11-09,178,20
Spaghetti,2023-12-06,41,0
Sprite,2023-12-16,84,0
Canned Beans,2022-11-15,153,20
Canned Beans,2022-10-29,238,19
Canned Tomatoes,2023-01-25,134,17
Nestea,2022-02-13,181,20
Can of Tuna,2022-04-10,90,13
Canned Mushrooms,2022-12-24,139,17
Pepsi,2023-11-14,152,5
Can of Tuna,2023-08-08,40,0
Canned Soup,2023-07-13,147,9
Canned Beans,2022-11-07,61,14
Canned Tomatoes,2022-07-28,48,13
Canned Pineapple,2022-05-05,2,16
Nestea,2022-12-12,133,15
Vodka,2023-09-12,248,8
Canned Tomatoes,2022-03-09,133,14
Pasta,2022-08-31,286,18
Sprite,2022-11-18,212,20
Spaghetti,2023-01-30,22,17
Vodka,2022-09-01,211,18
Canned Tomatoes,2023-03-03,131,6
Canned Tomatoes,2022-05-01,185,19
Whiskey,2022-12-19,205,19
Fanta,2023-09-13,276,7
Can of Tuna,2022-05-21,133,12
Canned Corn,2023-05-23,31,14
Coca-Cola,2022-07-02,86,17
Whiskey,2022-04-22,75,13
Canned Mushrooms,2023-02-21,5,13
Nestea,2023-08-08,28,0
Pepsi,2023-03-06,213,16
Canned Pineapple,2023-04-19,144,7
Pepsi,2023-01-30,284,19
Canned Corn,2022-10-27,157,20
Sprite,2022-04-04,88,17
Canned Beans,2022-05-14,252,19
Canned Beans,2022-05-21,8,16
Pasta,2022-01-20,58,14
Nestea,2022-05-26,163,18
Canned Mushrooms,2022-07-13,153,19
Pepsi,2023-10-09,243,6
Pepsi,2023-07-31,205,6
Canned Beans,2023-07-12,285,13
Vodka,2023-01-14,65,13
Canned Beans,2022-10-14,84,15
Pasta,2022-07-17,75,17
Rice,2023-08-31,260,10
Canned Tomatoes,2022-02-01,263,19
Spaghetti,2022-05-24,126,13
Canned Mushrooms,2022-04-10,239,20
Whiskey,2022-08-11,274,20
Canned Mushrooms,2022-09-03,112,13
Whiskey,2022-04-05,17,15
Canned Corn,2022-08-03,113,14
Canned Beans,2023-05-27,125,14
Canned Peas,2023-08-30,73,0
Vodka,2022-10-05,30,12
Canned Pineapple,2023-08-18,241,9
Can of Tuna,2022-04-24,246,19
Vodka,2022-10-13,160,19
Canned Soup,2022-12-13,106,16
Nestea,2022-12-12,233,18
Canned Olives,2022-07-11,282,18
Can of Tuna,2023-06-15,27,9
Canned Soup,2023-12-31,171,8
Canned Mushrooms,2022-10-07,166,18
Canned Peas,2022-08-10,292,19
Canned Corn,2023-11-01,286,9
Pasta,2022-06-06,179,18
Can of Tuna,2022-02-14,56,14
Canned Peas,2022-09-23,242,20
Canned Mushrooms,2022-11-21,272,20
Spaghetti,2022-09-17,182,20
Canned Mushrooms,2022-02-13,279,18
Rum,2023-03-02,177,16
Pepsi,2023-09-17,115,0
Rice,2023-07-24,226,10
Coca-Cola,2022-08-31,167,18
Canned Pineapple,2022-02-27,244,18
Pepsi,2023-10-31,159,8
Vodka,2022-10-11,133,15
Can of Tuna,2022-02-07,192,20
Fanta,2022-12-26,159,18
Canned Peas,2023-07-27,160,13
Fanta,2022-10-14,245,19
Canned Soup,2023-04-03,226,16
Spaghetti,2022-07-20,148,17
Canned Corn,2023-01-20,15,13
Canned Soup,2022-01-28,136,17
Canned Mushrooms,2022-01-16,172,19
Spaghetti,2022-05-14,298,19
Coca-Cola,2023-12-09,71,0
Spaghetti,2022-01-01,143,14
Pepsi,2023-08-07,40,0
Rum,2023-02-01,104,13
Canned Beans,2023-06-14,135,12
Fanta,2023-11-10,52,0
Rice,2023-10-23,31,0
Nestea,2022-11-17,176,18
Nestea,2023-11-17,188,6
Whiskey,2022-09-25,229,20
Nestea,2022-06-10,297,19
Canned Pineapple,2022-06-20,29,16
Sprite,2022-07-07,97,17
Fanta,2023-07-03,44,7
Fanta,2023-10-03,35,0
Whiskey,2022-02-16,238,18
Canned Soup,2022-02-17,140,17
Canned Soup,2023-06-18,214,13
Canned Olives,2022-09-03,11,15
Coca-Cola,2023-03-29,108,8
Canned Peas,2023-02-18,101,14
Canned Peas,2023-10-15,180,8
Whiskey,2023-10-29,87,0
Coca-Cola,2023-02-28,1,12
Rum,2022-12-04,292,19
Coca-Cola,2023-05-26,152,13
Fanta,2022-08-23,55,16
Whiskey,2022-11-05,89,16
Fanta,2023-09-07,250,5
Canned Corn,2023-01-11,185,20
Fanta,2023-06-25,247,13
Pasta,2023-05-01,22,9
Canned Tomatoes,2022-08-11,37,13
Canned Tomatoes,2023-11-04,26,0
Canned Olives,2022-02-23,119,15
Canned Soup,2023-01-02,113,15
Canned Peas,2023-10-29,76,0
Canned Mushrooms,2023-03-15,198,12
Canned Beans,2022-02-12,297,18
Rum,2022-10-24,138,12
Canned Beans,2022-12-16,28,17
Canned Olives,2023-07-15,256,14
Coca-Cola,2022-04-11,71,16
Nestea,2022-10-19,111,16
Canned Beans,2022-11-10,224,18
Spaghetti,2022-02-24,232,18
Coca-Cola,2022-01-10,33,14
Canned Olives,2022-08-22,190,18
Nestea,2023-01-25,191,18
Canned Soup,2022-06-21,224,18
Canned Olives,2022-06-20,77,17
Pasta,2023-01-04,47,14
Sprite,2023-04-28,105,14
Vodka,2023-07-11,259,15
Canned Pineapple,2023-07-01,256,16
Canned Tomatoes,2023-09-21,1,0
Canned Peas,2022-10-11,65,16
Whiskey,2022-08-19,37,17
Fanta,2022-06-15,280,20
Canned Beans,2022-09-13,176,18
Coca-Cola,2022-03-03,150,13
Fanta,2023-02-17,115,9
Nestea,2022-07-11,59,14
Nestea,2023-02-10,24,7
Pepsi,2023-11-10,145,0
Canned Corn,2023-09-29,131,0
Pepsi,2022-01-20,180,19
Pasta,2022-09-03,90,16
Sprite,2023-03-17,39,10
Spaghetti,2023-09-29,107,0
Pepsi,2022-06-09,120,17
Canned Pineapple,2023-09-07,173,8
Coca-Cola,2023-09-26,88,0
Whiskey,2023-05-23,38,10
Can of Tuna,2022-10-28,60,13
Canned Mushrooms,2023-01-28,11,17
Pepsi,2022-08-16,62,14
Rice,2023-08-20,146,0
Canned Soup,2022-11-19,298,19
Rum,2022-10-23,24,12
Rice,2023-03-26,278,13
Rice,2022-12-11,72,15
Can of Tuna,2023-07-22,7,10
Nestea,2023-04-09,233,15
Rice,2023-05-15,51,10
Vodka,2022-12-14,148,16
Canned Corn,2022-05-21,49,12
Pepsi,2022-05-29,86,12
Canned Beans,2022-08-23,188,18
Pepsi,2022-01-17,1,16
Canned Tomatoes,2022-09-30,159,19
Nestea,2023-11-10,166,10
Canned Mushrooms,2022-06-24,275,19
Canned Mushrooms,2022-12-17,112,15
Canned Pineapple,2023-11-27,66,0
Canned Peas,2022-12-05,9,12
Canned Pineapple,2022-08-09,275,20
Fanta,2022-09-15,212,19
Nestea,2023-04-07,3,6
Canned Corn,2022-09-16,23,17
Spaghetti,2022-11-26,244,20
Sprite,2022-04-20,144,13
Sprite,2023-04-13,78,13
Canned Peas,2023-03-05,221,15
Pepsi,2023-09-19,30,0
Sprite,2022-01-03,203,20
Canned Tomatoes,2022-06-19,22,16
Can of Tuna,2022-03-04,9,16
Vodka,2022-09-09,167,18
Canned Olives,2022-01-02,178,18
Canned Corn,2022-02-15,5,13
Canned Pineapple,2022-12-20,222,18
Coca-Cola,2023-05-17,128,12
Whiskey,2022-07-10,159,18
Rum,2023-11-10,203,6
Canned Beans,2023-01-17,278,20
Can of Tuna,2023-12-22,198,5
Vodka,2022-05-08,149,15
Whiskey,2022-09-15,132,17
Canned Olives,2022-07-04,181,18
Canned Beans,2023-07-06,110,14
Nestea,2023-09-21,269,7
Whiskey,2023-03-07,121,8
Spaghetti,2023-10-17,17,0
Canned Pineapple,2023-07-25,68,7
Canned Soup,2023-02-10,9,10
Nestea,2022-09-01,59,12
Canned Olives,2022-04-22,264,20
Sprite,2023-07-31,232,7
Canned Beans,2023-08-03,147,0
Canned Soup,2022-03-29,25,15
Canned Mushrooms,2023-01-10,261,18
Canned Pineapple,2023-11-18,252,9
Canned Pineapple,2023-10-13,56,0
Canned Soup,2022-08-08,258,18
Fanta,2023-07-12,286,13
Canned Olives,2022-12-14,280,19
Pasta,2022-12-27,159,20
Canned Olives,2022-04-13,228,20
Canned Mushrooms,2023-11-27,157,7
Canned Mushrooms,2023-04-02,140,6
Canned Olives,2023-04-23,107,12
Can of Tuna,2023-09-23,280,7
Canned Olives,2023-02-01,187,14
Rice,2022-09-15,95,13
Canned Peas,2023-03-19,217,11
Canned Beans,2023-08-24,127,0
Can of Tuna,2022-01-09,244,19
Rice,2023-01-10,142,14
Canned Mushrooms,2022-01-08,245,20
Rum,2022-12-20,214,19
Fanta,2023-04-22,48,14
Pasta,2023-11-21,211,10
Canned Beans,2023-03-23,225,14
Canned Mushrooms,2022-03-18,142,13
Spaghetti,2022-01-22,289,19
Spaghetti,2022-01-31,214,20
Sprite,2023-04-28,214,11
Nestea,2024-01-01,251,8
Canned Tomatoes,2022-05-09,151,18
Canned Pineapple,2022-11-24,109,12
Fanta,2023-07-16,59,8
Canned Peas,2022-06-05,99,16
Coca-Cola,2023-05-04,277,12
Canned Olives,2022-10-13,194,20
Canned Beans,2022-03-26,169,19
Rice,2023-09-12,42,0
Whiskey,2023-09-09,111,0
Can of Tuna,2023-05-14,148,10
Canned Olives,2023-09-12,110,0
Spaghetti,2023-01-19,131,16
Canned Olives,2023-05-17,289,11
Canned Olives,2022-10-02,88,12
Coca-Cola,2022-06-28,180,20
Whiskey,2023-05-03,288,16
Canned Tomatoes,2023-05-08,156,16
Canned Peas,2023-08-09,58,0
Spaghetti,2022-11-15,299,20
Sprite,2022-10-03,280,20
Coca-Cola,2022-10-05,214,20
Canned Corn,2022-05-26,288,19
Can of Tuna,2022-06-16,97,17
Rum,2022-01-23,218,19
Coca-Cola,2022-07-10,272,19
Canned Beans,2023-04-25,89,13
Whiskey,2022-12-08,225,18
Pepsi,2023-10-25,288,10
Canned Beans,2022-09-21,72,13
Canned Olives,2023-05-02,109,12
Canned Tomatoes,2022-07-17,189,19
Coca-Cola,2023-12-04,289,6
Canned Olives,2022-08-21,275,20
Canned Tomatoes,2023-09-08,9,0
Coca-Cola,2022-05-05,250,18
Pepsi,2022-11-16,156,19
Canned Tomatoes,2023-10-02,116,0
Pasta,2022-02-26,277,19
Pasta,2023-07-15,3,7
Sprite,2023-02-24,25,6
Coca-Cola,2023-06-11,41,9
Rum,2023-04-04,13,12
Fanta,2022-07-22,287,19
Canned Corn,2023-08-16,225,5
Canned Soup,2022-05-18,88,13
Canned Mushrooms,2022-05-25,21,13
Pasta,2023-12-29,82,0
Fanta,2022-01-02,35,12
Pepsi,2022-10-23,189,19
Spaghetti,2023-11-24,298,5
Canned Beans,2022-09-22,150,12
Vodka,2022-06-28,19,16
Can of Tuna,2023-06-20,49,12
Vodka,2023-09-09,17,0
Canned Corn,2022-05-17,70,16
Rice,2023-04-23,95,6
Fanta,2023-07-10,268,12
Can of Tuna,2023-10-28,44,0
Canned Tomatoes,2022-04-03,64,15
Canned Tomatoes,2023-03-01,37,7
Vodka,2023-06-11,61,14
Vodka,2022-03-19,190,19
Canned Tomatoes,2022-08-12,231,20
Canned Corn,2023-08-16,288,5
Canned Olives,2022-02-13,4,15
Coca-Cola,2023-01-11,279,20
Pepsi,2022-09-01,74,17
Canned Tomatoes,2023-04-06,52,10
Vodka,2023-07-11,228,14
Canned Beans,2022-02-17,53,15
Canned Pineapple,2022-05-02,246,20
Rice,2022-02-11,130,17
Canned Pineapple,2023-01-12,141,13
Canned Pineapple,2023-03-14,222,13
Can of Tuna,2023-01-17,122,12
Coca-Cola,2023-01-28,178,18
Canned Corn,2022-05-13,110,14
Canned Olives,2023-02-08,63,13
Rice,2022-05-04,39,14
Pasta,2023-10-30,273,9
Nestea,2022-12-28,254,18
Canned Beans,2023-04-24,235,14
Fanta,2022-11-09,207,19
Whiskey,2023-05-08,75,11
Nestea,2023-01-09,202,19
Canned Tomatoes,2022-07-27,159,19
Pasta,2022-10-19,43,12
Coca-Cola,2022-05-09,265,18
Canned Olives,2022-08-27,37,17
Pasta,2022-04-03,183,20
Pepsi,2023-03-29,273,13
Canned Soup,2023-08-19,255,8
Canned Peas,2023-03-11,258,11
Canned Soup,2023-07-21,142,10
Nestea,2023-05-02,92,11
Spaghetti,2022-06-26,61,15
Canned Olives,2022-07-07,65,13
Rum,2022-03-22,121,12
Can of Tuna,2023-11-14,286,9
Canned Corn,2023-06-22,161,12
Spaghetti,2023-10-16,16,0
Canned Peas,2023-04-28,291,16
Canned Soup,2022-03-18,73,12
Pepsi,2023-11-14,146,0
Coca-Cola,2023-07-31,100,0
Coca-Cola,2022-05-01,248,19
Can of Tuna,2023-02-17,184,10
Canned Beans,2022-03-26,56,17
Vodka,2023-03-11,11,14
Rum,2022-04-17,36,12
Canned Mushrooms,2022-03-26,38,14
Nestea,2023-09-09,22,0
Rum,2023-11-06,299,6
Pasta,2023-11-19,228,6
Pepsi,2022-11-28,281,20
Canned Beans,2022-07-14,13,13
Canned Soup,2023-05-16,81,12
Whiskey,2022-11-27,224,20
Vodka,2022-02-24,186,19
Canned Tomatoes,2022-09-14,16,17
Sprite,2023-01-31,287,20
Sprite,2022-11-30,180,19
Sprite,2023-05-10,117,7
Canned Corn,2022-05-04,35,12
Whiskey,2023-07-28,46,9
Canned Peas,2023-11-24,86,0
Pasta,2022-06-10,271,19
Spaghetti,2023-05-17,71,13
Canned Pineapple,2022-11-24,85,12
Nestea,2023-08-04,211,7
Vodka,2023-11-27,286,8
Pepsi,2023-04-04,88,8
Pasta,2022-04-02,245,19
Canned Soup,2023-11-22,97,0
Can of Tuna,2022-12-24,291,19
Canned Beans,2023-04-06,113,10
Vodka,2023-12-20,26,0
Pasta,2022-07-07,270,19
Spaghetti,2022-09-04,243,19
Can of Tuna,2022-09-26,163,20
Rice,2023-08-27,182,6
Canned Tomatoes,2022-08-26,60,12
Canned Olives,2022-09-15,6,12
Can of Tuna,2022-08-28,250,20
Whiskey,2022-12-06,282,18
Rum,2022-12-29,220,19
Coca-Cola,2022-07-23,158,20
Rum,2022-05-22,205,20
Sprite,2023-03-09,255,14
Pasta,2023-06-30,207,10
Sprite,2022-01-07,16,13
Vodka,2022-09-11,127,17
Canned Mushrooms,2023-12-03,34,0
Canned Peas,2023-09-19,103,0
Canned Beans,2022-12-25,17,13
Whiskey,2022-09-17,260,18
Canned Peas,2022-06-19,11,15
Canned Soup,2022-05-17,197,19
Pasta,2023-04-12,213,12
Coca-Cola,2023-06-27,41,9
Pepsi,2022-05-16,80,15
Fanta,2023-08-08,183,6
Canned Olives,2022-05-18,227,18
Fanta,2022-11-08,291,18
Canned Peas,2023-07-10,16,6
Pasta,2022-04-09,154,20
Sprite,2023-08-01,273,5
Sprite,2023-01-11,62,17
Canned Pineapple,2022-07-31,208,20
Canned Peas,2023-11-21,89,0
Canned Tomatoes,2023-02-15,219,12
Canned Beans,2023-08-11,226,10
Canned Pineapple,2023-12-19,112,0
Canned Corn,2023-02-27,206,16
Canned Pineapple,2023-03-21,158,14
Canned Corn,2022-06-05,16,13
Nestea,2022-02-19,239,20
Sprite,2023-03-17,157,13
Can of Tuna,2022-02-28,195,19
Whiskey,2022-11-15,41,16
Canned Peas,2023-11-29,66,0
Can of Tuna,2022-04-02,17,12
Coca-Cola,2022-09-16,283,20
Canned Pineapple,2022-01-31,123,14
Canned Beans,2022-10-19,193,18
Canned Corn,2023-03-24,42,11
Fanta,2023-09-11,182,10
Pepsi,2022-05-24,3,13
Whiskey,2023-04-05,127,8
Canned Soup,2022-10-05,109,14
Fanta,2023-08-04,145,0
Canned Olives,2023-02-23,230,15
Canned Corn,2023-12-28,78,0
Canned Peas,2022-05-13,172,18
Canned Tomatoes,2023-09-11,74,0
Canned Peas,2023-02-03,122,13
Canned Peas,2023-01-03,29,12
Coca-Cola,2022-10-26,217,20
Coca-Cola,2022-06-13,116,14
Coca-Cola,2023-06-27,171,15
Canned Beans,2023-12-16,163,7
Canned Tomatoes,2022-01-31,74,16
Canned Beans,2023-02-06,108,9
Vodka,2023-11-13,93,0
Rice,2023-06-16,242,11
Vodka,2022-11-01,143,13
Canned Peas,2023-09-12,202,9
Fanta,2022-05-10,11,16
Can of Tuna,2022-01-24,96,16
Whiskey,2023-10-19,237,7
Can of Tuna,2022-09-02,30,13
Canned Peas,2023-07-18,208,10
Rum,2023-05-02,216,13
Rum,2022-09-12,274,19
Spaghetti,2022-10-30,159,18
Canned Beans,2022-07-15,2,13
Canned Mushrooms,2023-11-21,108,0
Canned Beans,2022-06-07,125,13
Canned Corn,2023-01-16,17,16
Canned Beans,2022-08-28,111,17
Canned Tomatoes,2023-10-18,290,7
Rum,2023-09-03,207,10
Can of Tuna,2023-11-17,23,0
Pasta,2022-10-15,88,15
Nestea,2023-02-02,128,14
Fanta,2023-01-21,49,15
Nestea,2022-01-20,14,17
Canned Beans,2022-05-07,232,20
Canned Corn,2022-07-25,251,19
Can of Tuna,2023-12-18,69,0
Vodka,2022-03-05,171,19
Canned Tomatoes,2022-04-01,68,16
Whiskey,2022-01-10,300,18
Rice,2023-08-26,138,0
Canned Olives,2022-02-07,179,20
Spaghetti,2022-09-03,26,17
Spaghetti,2023-10-13,12,0
Fanta,2023-12-28,168,8
Can of Tuna,2023-08-31,201,9
Whiskey,2023-07-21,241,14
Sprite,2023-01-10,225,19
Canned Mushrooms,2022-05-07,82,17
Can of Tuna,2023-03-13,221,13
Rice,2023-12-08,123,0
Coca-Cola,2022-11-02,295,18
Vodka,2022-04-06,136,17
Pasta,2022-05-22,191,20
Canned Corn,2022-10-28,104,12
Canned Peas,2022-06-01,11,13
Canned Soup,2022-04-23,219,20
Canned Tomatoes,2022-01-31,32,14
Spaghetti,2023-11-12,178,6
Spaghetti,2023-09-01,11,0
Spaghetti,2022-04-27,189,19
Fanta,2022-05-31,6,15
Canned Peas,2023-10-22,118,0
Pepsi,2023-09-16,279,9
Canned Tomatoes,2022-08-14,280,19
Rum,2022-11-11,61,15
Spaghetti,2022-04-17,194,19
Rum,2022-04-12,241,18
Sprite,2022-09-14,24,16
Canned Beans,2023-03-08,181,16
Canned Tomatoes,2023-11-15,7,0
Canned Soup,2023-12-31,133,0
Coca-Cola,2022-11-02,141,16
Coca-Cola,2022-05-22,39,16
Pasta,2023-12-08,134,0
Canned Olives,2023-07-13,44,14
Canned Peas,2022-11-09,137,17
Canned Pineapple,2023-08-28,112,0
Coca-Cola,2023-09-04,292,5
Rum,2022-03-07,205,19
Fanta,2022-12-14,181,19
Can of Tuna,2022-10-27,64,17
Fanta,2022-10-01,70,16
Vodka,2022-09-18,172,18
Can of Tuna,2023-01-14,185,18
Canned Mushrooms,2022-09-27,108,12
Coca-Cola,2022-12-20,202,19
Spaghetti,2022-11-03,274,19
Canned Corn,2023-01-01,38,12
Vodka,2023-04-06,260,12
Canned Corn,2023-05-31,174,14
Coca-Cola,2022-10-11,7,13
Spaghetti,2022-12-11,169,19
Rice,2022-05-20,154,18
Spaghetti,2023-08-31,97,0
