Product,Category,Quantity,Manufactury Date,Expiry Date,Quantity Sold Last 30 Days,Discount
Spinach,Vegetables,51,2024-07-17,2024-07-25,16,32
Potato,Vegetables,94,2024-07-20,2024-07-28,46,34
Beef,Meat,40,2024-07-11,2024-07-18,34,15
Orange,Fruits,61,2024-07-15,2024-08-04,42,12
Milk,Dairy,71,2024-07-19,2024-07-29,29,41
Banana,Fruits,30,2024-07-21,2024-07-28,16,13
Soda,Beverages,76,2024-07-17,2024-10-15,18,0
Yogurt,Dairy,41,2024-07-12,2024-07-24,10,39
Carrot,Vegetables,30,2024-07-18,2024-07-28,25,19
Fish,Seafood,25,2024-07-23,2024-07-27,32,14
Soda,Beverages,69,2024-07-14,2024-10-12,18,9
Fish,Seafood,41,2024-07-21,2024-07-25,32,17
Chips,Snacks,72,2024-07-23,2024-12-20,14,2
Yogurt,Dairy,65,2024-07-22,2024-08-03,10,24
Carrot,Vegetables,80,2024-07-21,2024-07-31,25,43
Broccoli,Vegetables,10,2024-07-23,2024-08-04,31,12
Spinach,Vegetables,96,2024-07-13,2024-07-21,16,49
Butter,Dairy,11,2024-07-11,2024-08-10,28,6
Banana,Fruits,34,2024-07-12,2024-07-19,16,42
Fish,Seafood,51,2024-07-16,2024-07-20,32,11
Carrot,Vegetables,89,2024-07-22,2024-08-01,25,49
Chips,Snacks,56,2024-07-12,2024-12-09,14,9
Apple,Fruits,36,2024-07-17,2024-08-01,18,13
Apple,Fruits,57,2024-07-20,2024-08-04,18,29
Bread,Bakery,59,2024-07-22,2024-07-25,25,45
Chicken,Meat,60,2024-07-20,2024-07-25,39,13
Potato,Vegetables,51,2024-07-12,2024-07-20,46,13
Potato,Vegetables,60,2024-07-12,2024-07-20,46,14
Beef,Meat,86,2024-07-18,2024-07-25,34,39
Potato,Vegetables,58,2024-07-17,2024-07-25,46,19
Beef,Meat,86,2024-07-13,2024-07-20,34,40
Juice,Beverages,91,2024-07-11,2024-09-09,3,7
Carrot,Vegetables,42,2024-07-18,2024-07-28,25,11
Broccoli,Vegetables,60,2024-07-18,2024-07-30,31,10
Milk,Dairy,97,2024-07-18,2024-07-28,29,37
Orange,Fruits,88,2024-07-14,2024-08-03,42,28
Yogurt,Dairy,24,2024-07-20,2024-08-01,10,38
Orange,Fruits,71,2024-07-17,2024-08-06,42,6
Milk,Dairy,70,2024-07-15,2024-07-25,29,40
Butter,Dairy,29,2024-07-12,2024-08-11,28,7
Banana,Fruits,56,2024-07-18,2024-07-25,16,42
Shrimp,Seafood,33,2024-07-22,2024-07-28,48,12
Shrimp,Seafood,35,2024-07-21,2024-07-27,48,16
Butter,Dairy,24,2024-07-11,2024-08-10,28,7
Shrimp,Seafood,84,2024-07-17,2024-07-23,48,19
Tomato,Vegetables,19,2024-07-17,2024-07-30,38,15
Carrot,Vegetables,73,2024-07-12,2024-07-22,25,41
Soda,Beverages,79,2024-07-18,2024-10-16,18,9
Chips,Snacks,31,2024-07-19,2024-12-16,14,5
Yogurt,Dairy,60,2024-07-14,2024-07-26,10,42
Spinach,Vegetables,42,2024-07-11,2024-07-19,16,31
Broccoli,Vegetables,81,2024-07-20,2024-08-01,31,34
Soda,Beverages,59,2024-07-18,2024-10-16,18,4
Chicken,Meat,57,2024-07-12,2024-07-17,39,15
Soda,Beverages,95,2024-07-14,2024-10-12,18,2
Broccoli,Vegetables,41,2024-07-22,2024-08-03,31,6
Juice,Beverages,56,2024-07-20,2024-09-18,3,9
Yogurt,Dairy,49,2024-07-15,2024-07-27,10,48
Cookies,Snacks,67,2024-07-19,2024-11-16,0,3
Chicken,Meat,66,2024-07-19,2024-07-24,39,19
Cookies,Snacks,30,2024-07-19,2024-11-16,0,3
Spinach,Vegetables,97,2024-07-11,2024-07-19,16,47
Juice,Beverages,53,2024-07-12,2024-09-10,3,7
Broccoli,Vegetables,75,2024-07-14,2024-07-26,31,46
Spinach,Vegetables,52,2024-07-20,2024-07-28,16,44
Broccoli,Vegetables,13,2024-07-11,2024-07-23,31,14
Shrimp,Seafood,30,2024-07-22,2024-07-28,48,17
Tomato,Vegetables,11,2024-07-18,2024-07-31,38,14
Yogurt,Dairy,21,2024-07-19,2024-07-31,10,44
Apple,Fruits,26,2024-07-16,2024-07-31,18,14
Fish,Seafood,27,2024-07-20,2024-07-24,32,11
Cookies,Snacks,90,2024-07-17,2024-11-14,0,9
Butter,Dairy,54,2024-07-12,2024-08-11,28,7
Cookies,Snacks,17,2024-07-14,2024-11-11,0,0
Bread,Bakery,83,2024-07-19,2024-07-22,25,39
Beef,Meat,72,2024-07-16,2024-07-23,34,36
Fish,Seafood,93,2024-07-14,2024-07-18,32,37
Beef,Meat,84,2024-07-10,2024-07-17,34,49
Juice,Beverages,77,2024-07-18,2024-09-16,3,7
Cookies,Snacks,16,2024-07-21,2024-11-18,0,6
Chips,Snacks,36,2024-07-16,2024-12-13,14,5
Soda,Beverages,69,2024-07-10,2024-10-08,18,9
Fish,Seafood,97,2024-07-21,2024-07-25,32,34
Cookies,Snacks,62,2024-07-21,2024-11-18,0,1
Fish,Seafood,56,2024-07-19,2024-07-23,32,13
Apple,Fruits,87,2024-07-16,2024-07-31,18,39
Spinach,Vegetables,29,2024-07-20,2024-07-28,16,15
Carrot,Vegetables,51,2024-07-20,2024-07-30,25,34
Shrimp,Seafood,21,2024-07-10,2024-07-16,48,14
Yogurt,Dairy,54,2024-07-18,2024-07-30,10,43
Shrimp,Seafood,89,2024-07-21,2024-07-27,48,18
Bread,Bakery,85,2024-07-18,2024-07-21,25,37
Beef,Meat,54,2024-07-22,2024-07-29,34,12
Juice,Beverages,40,2024-07-18,2024-09-16,3,7
Yogurt,Dairy,69,2024-07-18,2024-07-30,10,30
Tomato,Vegetables,46,2024-07-14,2024-07-27,38,10
Tomato,Vegetables,16,2024-07-16,2024-07-29,38,14
Cookies,Snacks,75,2024-07-20,2024-11-17,0,4
Cookies,Snacks,76,2024-07-16,2024-11-13,0,6
Juice,Beverages,94,2024-07-14,2024-09-12,3,0
Apple,Fruits,37,2024-07-14,2024-07-29,18,30
Orange,Fruits,63,2024-07-22,2024-08-11,42,5
Chicken,Meat,55,2024-07-19,2024-07-24,39,19
Apple,Fruits,91,2024-07-21,2024-08-05,18,31
Spinach,Vegetables,29,2024-07-17,2024-07-25,16,17
Carrot,Vegetables,52,2024-07-14,2024-07-24,25,39
Carrot,Vegetables,12,2024-07-22,2024-08-01,25,15
Banana,Fruits,91,2024-07-17,2024-07-24,16,36
Bread,Bakery,99,2024-07-11,2024-07-14,25,39
Shrimp,Seafood,29,2024-07-15,2024-07-21,48,10
Potato,Vegetables,42,2024-07-21,2024-07-29,46,16
Tomato,Vegetables,87,2024-07-16,2024-07-29,38,44
Chicken,Meat,35,2024-07-18,2024-07-23,39,11
Spinach,Vegetables,89,2024-07-18,2024-07-26,16,46
Soda,Beverages,98,2024-07-16,2024-10-14,18,6
Milk,Dairy,64,2024-07-10,2024-07-20,29,49
Tomato,Vegetables,21,2024-07-10,2024-07-23,38,11
Milk,Dairy,12,2024-07-10,2024-07-20,29,14
Tomato,Vegetables,65,2024-07-19,2024-08-01,38,14
Fish,Seafood,86,2024-07-18,2024-07-22,32,38
Chips,Snacks,10,2024-07-15,2024-12-12,14,0
Yogurt,Dairy,80,2024-07-13,2024-07-25,10,33
Spinach,Vegetables,91,2024-07-13,2024-07-21,16,33
Chips,Snacks,46,2024-07-10,2024-12-07,14,9
Spinach,Vegetables,17,2024-07-13,2024-07-21,16,16
Spinach,Vegetables,79,2024-07-16,2024-07-24,16,46
Tomato,Vegetables,35,2024-07-18,2024-07-31,38,17
Juice,Beverages,99,2024-07-19,2024-09-17,3,8
Cookies,Snacks,19,2024-07-13,2024-11-10,0,8
Apple,Fruits,78,2024-07-12,2024-07-27,18,33
Broccoli,Vegetables,31,2024-07-13,2024-07-25,31,10
Chips,Snacks,74,2024-07-19,2024-12-16,14,1
Potato,Vegetables,49,2024-07-12,2024-07-20,46,18
Soda,Beverages,16,2024-07-18,2024-10-16,18,0
Beef,Meat,24,2024-07-23,2024-07-30,34,18
Soda,Beverages,88,2024-07-15,2024-10-13,18,4
Apple,Fruits,43,2024-07-11,2024-07-26,18,33
Chips,Snacks,79,2024-07-20,2024-12-17,14,4
Potato,Vegetables,48,2024-07-15,2024-07-23,46,15
Tomato,Vegetables,52,2024-07-16,2024-07-29,38,17
Butter,Dairy,36,2024-07-23,2024-08-22,28,13
Soda,Beverages,28,2024-07-15,2024-10-13,18,0
Beef,Meat,66,2024-07-23,2024-07-30,34,13
Bread,Bakery,29,2024-07-18,2024-07-21,25,18
Banana,Fruits,89,2024-07-20,2024-07-27,16,45
Chicken,Meat,79,2024-07-16,2024-07-21,39,38
Soda,Beverages,78,2024-07-23,2024-10-21,18,3
Butter,Dairy,66,2024-07-14,2024-08-13,28,26
Juice,Beverages,87,2024-07-20,2024-09-18,3,4
Juice,Beverages,24,2024-07-22,2024-09-20,3,5
Banana,Fruits,71,2024-07-18,2024-07-25,16,48
Potato,Vegetables,29,2024-07-21,2024-07-29,46,13
Broccoli,Vegetables,29,2024-07-23,2024-08-04,31,14
Apple,Fruits,62,2024-07-21,2024-08-05,18,20
Spinach,Vegetables,89,2024-07-12,2024-07-20,16,32
Beef,Meat,76,2024-07-20,2024-07-27,34,48
Yogurt,Dairy,37,2024-07-12,2024-07-24,10,39
Yogurt,Dairy,51,2024-07-22,2024-08-03,10,32
Beef,Meat,61,2024-07-18,2024-07-25,34,13
Potato,Vegetables,80,2024-07-15,2024-07-23,46,18
Chips,Snacks,50,2024-07-20,2024-12-17,14,2
Shrimp,Seafood,77,2024-07-21,2024-07-27,48,14
Butter,Dairy,64,2024-07-22,2024-08-21,28,26
Juice,Beverages,17,2024-07-10,2024-09-08,3,0
Apple,Fruits,60,2024-07-14,2024-07-29,18,41
Cookies,Snacks,23,2024-07-22,2024-11-19,0,7
Chips,Snacks,98,2024-07-12,2024-12-09,14,4
Shrimp,Seafood,33,2024-07-19,2024-07-25,48,17
Potato,Vegetables,94,2024-07-18,2024-07-26,46,44
Banana,Fruits,85,2024-07-11,2024-07-18,16,41
Beef,Meat,14,2024-07-17,2024-07-24,34,10
Cookies,Snacks,26,2024-07-10,2024-11-07,0,4
Orange,Fruits,48,2024-07-21,2024-08-10,42,7
Banana,Fruits,55,2024-07-21,2024-07-28,16,34
Cookies,Snacks,62,2024-07-23,2024-11-20,0,1
Orange,Fruits,39,2024-07-19,2024-08-08,42,6
Yogurt,Dairy,87,2024-07-22,2024-08-03,10,24
Yogurt,Dairy,46,2024-07-12,2024-07-24,10,46
Potato,Vegetables,34,2024-07-23,2024-07-31,46,18
Beef,Meat,97,2024-07-20,2024-07-27,34,49
Yogurt,Dairy,29,2024-07-23,2024-08-04,10,21
Potato,Vegetables,22,2024-07-22,2024-07-30,46,13
Broccoli,Vegetables,36,2024-07-21,2024-08-02,31,10
Yogurt,Dairy,36,2024-07-22,2024-08-03,10,31
Spinach,Vegetables,53,2024-07-15,2024-07-23,16,35
Shrimp,Seafood,93,2024-07-12,2024-07-18,48,11
Apple,Fruits,93,2024-07-13,2024-07-28,18,44
Tomato,Vegetables,60,2024-07-17,2024-07-30,38,11
Milk,Dairy,34,2024-07-10,2024-07-20,29,10
Milk,Dairy,91,2024-07-17,2024-07-27,29,46
Beef,Meat,96,2024-07-22,2024-07-29,34,31
Carrot,Vegetables,22,2024-07-22,2024-08-01,25,18
Banana,Fruits,97,2024-07-21,2024-07-28,16,38
Yogurt,Dairy,73,2024-07-14,2024-07-26,10,41
Yogurt,Dairy,64,2024-07-19,2024-07-31,10,31
Potato,Vegetables,11,2024-07-13,2024-07-21,46,15
Chicken,Meat,67,2024-07-13,2024-07-18,39,15
Apple,Fruits,95,2024-07-18,2024-08-02,18,34
Cookies,Snacks,55,2024-07-13,2024-11-10,0,1
Spinach,Vegetables,30,2024-07-23,2024-07-31,16,17
Banana,Fruits,91,2024-07-14,2024-07-21,16,38
Apple,Fruits,88,2024-07-10,2024-07-25,18,37
Bread,Bakery,59,2024-07-11,2024-07-14,25,30
Bread,Bakery,76,2024-07-20,2024-07-23,25,43
Chips,Snacks,88,2024-07-14,2024-12-11,14,6
Spinach,Vegetables,49,2024-07-13,2024-07-21,16,43
Butter,Dairy,71,2024-07-18,2024-08-17,28,23
Potato,Vegetables,80,2024-07-15,2024-07-23,46,12
Bread,Bakery,60,2024-07-21,2024-07-24,25,40
Soda,Beverages,94,2024-07-12,2024-10-10,18,2
Bread,Bakery,82,2024-07-20,2024-07-23,25,42
Orange,Fruits,80,2024-07-23,2024-08-12,42,10
Orange,Fruits,54,2024-07-15,2024-08-04,42,12
Potato,Vegetables,43,2024-07-17,2024-07-25,46,15
Shrimp,Seafood,61,2024-07-11,2024-07-17,48,18
Soda,Beverages,47,2024-07-23,2024-10-21,18,1
Bread,Bakery,24,2024-07-12,2024-07-15,25,15
Juice,Beverages,12,2024-07-15,2024-09-13,3,0
Yogurt,Dairy,78,2024-07-19,2024-07-31,10,32
Banana,Fruits,24,2024-07-14,2024-07-21,16,18
Milk,Dairy,68,2024-07-12,2024-07-22,29,36
Beef,Meat,17,2024-07-21,2024-07-28,34,14
Cookies,Snacks,45,2024-07-13,2024-11-10,0,3
Tomato,Vegetables,10,2024-07-10,2024-07-23,38,19
Carrot,Vegetables,35,2024-07-11,2024-07-21,25,14
Chips,Snacks,89,2024-07-18,2024-12-15,14,2
Fish,Seafood,82,2024-07-10,2024-07-14,32,47
Tomato,Vegetables,47,2024-07-22,2024-08-04,38,9
Shrimp,Seafood,93,2024-07-11,2024-07-17,48,14
Bread,Bakery,15,2024-07-14,2024-07-17,25,18
Yogurt,Dairy,63,2024-07-22,2024-08-03,10,34
Orange,Fruits,69,2024-07-22,2024-08-11,42,14
Tomato,Vegetables,93,2024-07-16,2024-07-29,38,47
Tomato,Vegetables,40,2024-07-15,2024-07-28,38,15
Beef,Meat,42,2024-07-17,2024-07-24,34,14
Spinach,Vegetables,73,2024-07-14,2024-07-22,16,36
Apple,Fruits,92,2024-07-22,2024-08-06,18,28
Potato,Vegetables,78,2024-07-14,2024-07-22,46,10
Broccoli,Vegetables,30,2024-07-22,2024-08-03,31,14
Apple,Fruits,52,2024-07-14,2024-07-29,18,47
Potato,Vegetables,21,2024-07-10,2024-07-18,46,17
Cookies,Snacks,33,2024-07-19,2024-11-16,0,4
Chips,Snacks,81,2024-07-22,2024-12-19,14,1
Apple,Fruits,26,2024-07-18,2024-08-02,18,10
Potato,Vegetables,85,2024-07-13,2024-07-21,46,10
Soda,Beverages,24,2024-07-10,2024-10-08,18,0
Carrot,Vegetables,93,2024-07-17,2024-07-27,25,32
Yogurt,Dairy,38,2024-07-16,2024-07-28,10,33
Apple,Fruits,26,2024-07-15,2024-07-30,18,19
Butter,Dairy,33,2024-07-21,2024-08-20,28,7
Apple,Fruits,86,2024-07-16,2024-07-31,18,31
Carrot,Vegetables,37,2024-07-10,2024-07-20,25,10
Carrot,Vegetables,76,2024-07-10,2024-07-20,25,47
Tomato,Vegetables,55,2024-07-17,2024-07-30,38,19
Banana,Fruits,18,2024-07-14,2024-07-21,16,16
Butter,Dairy,91,2024-07-19,2024-08-18,28,25
Potato,Vegetables,10,2024-07-11,2024-07-19,46,11
Milk,Dairy,11,2024-07-19,2024-07-29,29,19
Chicken,Meat,26,2024-07-21,2024-07-26,39,16
Banana,Fruits,71,2024-07-11,2024-07-18,16,40
Tomato,Vegetables,72,2024-07-21,2024-08-03,38,5
Juice,Beverages,61,2024-07-16,2024-09-14,3,2
Milk,Dairy,17,2024-07-13,2024-07-23,29,12
Orange,Fruits,52,2024-07-15,2024-08-04,42,12
Beef,Meat,68,2024-07-19,2024-07-26,34,12
Potato,Vegetables,71,2024-07-17,2024-07-25,46,10
Potato,Vegetables,80,2024-07-12,2024-07-20,46,17
Yogurt,Dairy,70,2024-07-15,2024-07-27,10,38
Fish,Seafood,67,2024-07-17,2024-07-21,32,31
Soda,Beverages,20,2024-07-18,2024-10-16,18,0
Potato,Vegetables,24,2024-07-11,2024-07-19,46,18
Potato,Vegetables,63,2024-07-12,2024-07-20,46,12
Chips,Snacks,96,2024-07-14,2024-12-11,14,4
Cookies,Snacks,78,2024-07-21,2024-11-18,0,8
Tomato,Vegetables,71,2024-07-13,2024-07-26,38,16
Banana,Fruits,12,2024-07-19,2024-07-26,16,19
Butter,Dairy,99,2024-07-16,2024-08-15,28,29
Broccoli,Vegetables,94,2024-07-17,2024-07-29,31,47
Milk,Dairy,80,2024-07-21,2024-07-31,29,35
Cookies,Snacks,78,2024-07-15,2024-11-12,0,2
Carrot,Vegetables,11,2024-07-20,2024-07-30,25,14
Tomato,Vegetables,52,2024-07-16,2024-07-29,38,12
Fish,Seafood,31,2024-07-10,2024-07-14,32,13
Potato,Vegetables,91,2024-07-20,2024-07-28,46,16
Shrimp,Seafood,22,2024-07-16,2024-07-22,48,12
Shrimp,Seafood,10,2024-07-12,2024-07-18,48,10
